X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8574898.47746811,4708861.32880273,11001302_36001412_36001432,11001302,1550.25805664,13TH ST NW & Ramp-36001412 & Ramp-36001432,14,d501e7891d48b4fe674f3a9c3fd2976d,2157e,,4372855
-8571545.04731981,4699217.09273689,13000502_13009362,13000502,1578.20800781,5TH ST SE & ALABAMA AVE SE,13,ed03d2d48374deb155eea2e2f8947991,4122,,4372862
-8569123.74182864,4712683.65637278,12074032_12081442,12081442,2913.29711914,SOUTH DAKOTA AVE NE & QUINCY ST NE,13,8ea1f3a342e9481523e867780acec668,3211,,4372864
-8575449.09722547,4708316.73367102,11001502_11044812,11044812,221.45399475,HIGHLAND TER NW & 15TH ST NW,13,33d1e014ad998e22bd40b2070afc61b7,1041,,4372865
-8578869.73941877,4708091.76252935,11057852_11071952,11071952,178.81799316,POTOMAC ST NW & M ST NW,13,d47101360d165d9c7b76d15acf52f178,6238,,4372881
-8568533.01013721,4709837.63169141,12015992_12064672,12015992,2146.87011719,BLADENSBURG RD NE & NEW YORK AVE NE,13,06e2fc6c9cfe39f40ef42c606ea170df,3180,,4372885
-8574898.30945412,4709374.02800221,11001302_11077672,11077672,1675.67797852,S ST NW & 13TH ST NW,13,127a3ced0d40a90e0dc1e5863b7a92f5,2144,,4372891
-8570851.88801504,4714500.31724103,12028602_12081442,12081442,4867.12207031,SOUTH DAKOTA AVE NE & DELAFIELD ST NE,13,cb89ca0dcf6a35f2c86814c6e5b090c3,3206,,4372895
-8577593.28568896,4707236.52419679,11002502A_11089892,11089892,1384.61303711,VIRGINIA AVE NW & 25TH ST NW,13,07bd60c2e25615a823ba1f9e7b2abe43,1187,,4372898
-8583526.09304885,4710906.34432175,11010922_11020212,11010922,0,ARIZONA AVE NW & CANAL RD NW,14,ab739d9e80fe0452510c44ef3d91e072,6057,,4372904
-8577082.43339147,4707695.76195819,36001812_36003882_36004902_36004922,36004902,0,Ramp-36004902 & Ramp-36001812 & Ramp-36003882 & Ramp-36004922,13,2a6c8968e3fe696f69ca8b166046cb5c,1196,,4372910
-8580739.85508294,4712385.47125489,11059602_58001342,11059602,7266.0390625,MASSACHUSETTS AVE NW & Driveway-58001342,13,2a7d9608f22d6d3ffe610a14488b770b,6103,,4372912
-8573402.22124971,4708056.53279569,11000402_11064672_15048463,15048463,5586.58691406,INTERSTATE 395   BN & NEW YORK AVE NW & 4TH ST NW,13,7e620166e9c84a7d1b94a3850241b407,3012,,4372915
-8572408.78577591,4705222.99964152,13026912_13064282,13064282,291.35501099,NEW JERSEY AVE SE & D ST SE,13,cc1eb4fa458463add0cc24903be2c005,2235,,4372927
-8575446.61077939,4709374.58200013,11001502_11077672,11077672,2102.85498047,S ST NW & 15TH ST NW,13,2c25166c3a8fb23baa3d58672b4aef1f,1046,,4372933
-8572594.74695767,4716625.85291335,11051352_12023332_12051352,12051352,0,KANSAS AVE NE & KANSAS AVE NW & CHILLUM PL NE,13,047b2b69de5c10bef1bcc8d9aeb3e853,5198,,4372942
-8574649.36073339,4714733.26650902,11011052_11040042,11011052,1604.89501953,ARKANSAS AVE NW & GEORGIA AVE NW,13,40662f2780663d5179ce691a2044910a,5128a,,4372977
-8573555.11871462,4703733.46303314,14000402_14063182,14063182,470.07998657,N ST SW & 4TH ST SW,13,3cda25d04b0e25f9d4726b76ab9f6d1f,2194,,4372986
-8572194.53872392,4708676.24609378,12032172_12036722,12036722,367.42001343,FLORIDA AVE NE & ECKINGTON PL NE,13,a637d6d28b4123a90d8663e42c1e559b,3030,,4373010
-8575651.40958359,4716394.49822245,11001602_36004032_36004042,36004032,0,Ramp-36004032 & 16TH ST NW & Ramp-36004042,13,06a8aa0c3e22019e760030e0d51685eb,5239,,4373011
-8578069.73883069,4708107.85557226,11002902_11057852_11069812,11069812,4433.54882813,PENNSYLVANIA AVE NW & 29TH ST NW & M ST NW,13,4160c6f3ff10cfd4469cd16f79a77f87,6011,,4373036
-8579082.21035527,4709461.42374693,11077672_11094052,11077672,3988.93310547,S ST NW & WISCONSIN AVE NW,13,0b56ed21fdb94cea77bf609468b67886,6249,,4373046
-8571146.12486433,4699266.96179444,13000702_13009362,13009362,314.18899536,ALABAMA AVE SE & 7TH ST SE,13,0c6d9a16c951d6c8280f464ab68aab6f,4223,,4373057
-8571040.09491034,4706216.88517055,12000802_12025352,12025352,1226.84899902,CONSTITUTION AVE NE & 8TH ST NE,13,6c6f48bbea0635e2f551652a70b0ce40,3078b,,4373099
-8574156.41923562,4706805.7452853,11000802_11031332,11000802,148.63999939,8TH ST NW & E ST NW,13,6ef7021d4f15ab724ee56b77234b89ef,2067,,4373108
-8574689.54499029,4711604.23676887,11001102_11052322,11052322,1066.89697266,KENYON ST NW & 11TH ST NW,13,42c6bf548959a605cb811ea0f0e759c6,5028,,4373122
-8573643.41906181,4710611.19661337,11000402_11046672_11060182,11060182,491.63000488,MCMILLAN DR NW & HOWARD PL NW & 4TH ST NW,13,0354bbc7d80bc42167c1382bb2b03e3a,3240,,4373136
-8572256.40500138,4707718.39692461,12000102_12050892,12000102,1337.4510498,1ST ST NE & K ST NE,13,40736cafb4216780e39074395946fe5a,2161,,4373142
-8574202.5429504,4711653.30740348,11040042_11052322,11052322,684.78497314,KENYON ST NW & GEORGIA AVE NW,13,e0db12969f35fa53cb3207a82716bc46,5136,,4373148
-8576605.7210759,4705488.58972924,14047972_14092362,14047972,3151.65209961,INDEPENDENCE AVE SW & WEST BASIN DR SW,13,162eb51b8dcbb70af66762176ea9e42c,1253,,4373150
